Individu;Edat;Sexe
422;65;Dona
423;76;Dona
424;50;Dona
425;47;Home
426;61;Home
427;61;Home
428;60;Dona
429;91;Dona
430;81;Home
431;78;Dona
432;40;Home
433;35;Home
434;67;Home
435;65;Dona
436;41;Home
437;36;Dona
438;51;Home
439;81;Home
440;80;Dona
441;52;Home
442;65;Home
443;60;Dona
444;66;Home
445;66;Dona
446;43;Home
447;37;Home
448;46;Dona
449;42;Dona
450;67;Home
451;68;Dona
452;41;Home
453;52;Home
454;45;Dona
455;81;Home
456;76;Dona
457;53;Home
458;45;Home
459;39;Home
460;66;Dona
461;41;Dona
462;60;Home
463;58;Dona
464;66;Home
465;66;Dona
466;58;Dona
467;48;Home
468;64;Home
469;61;Dona
470;55;Dona
471;39;Home
472;75;Home
473;68;Dona
474;45;Home
475;43;Dona
476;66;Home
477;94;Dona
478;83;Dona
479;67;Dona
480;62;Home
481;52;Home
482;76;Dona
483;50;Dona
484;48;Home
485;44;Home
486;37;Dona
487;69;Dona
488;57;Dona
489;84;Dona
490;58;Home
491;33;Home
492;78;Home
493;75;Dona
494;49;Home
495;48;Dona
496;45;Dona
497;42;Home
498;39;Dona
499;75;Dona
500;51;Dona
501;50;Home
502;49;Home
503;46;Dona
504;70;Dona
505;45;Dona
506;46;Home
507;84;Dona
508;83;Dona
509;57;Dona
510;52;Dona
511;80;Dona
512;52;Home
513;50;Home
514;49;Dona
515;78;Dona
516;51;Home
517;45;Dona
518;44;Dona
519;67;Dona
520;82;Home
521;78;Dona
522;55;Home
523;48;Home
524;69;Dona
525;68;Dona
526;74;Home
527;64;Dona
528;40;Home
529;93;Dona
530;60;Home
531;56;Home
532;71;Dona
533;46;Home
534;88;Home
535;58;Dona
536;89;Home
537;86;Dona
538;62;Home
539;85;Home
540;51;Home
541;49;Home
542;78;Home
543;49;Dona
544;45;Dona
545;40;Dona
546;69;Home
547;71;Dona
548;45;Home
549;44;Dona
550;41;Home
551;61;Home
552;71;Home
553;71;Dona
554;44;Dona
555;95;Dona
556;60;Home
557;80;Home
558;74;Home
559;70;Dona
560;34;Dona
561;71;Home
562;69;Dona
563;46;Dona
564;44;Home
565;43;Home
566;69;Home
567;65;Dona
568;44;Home
569;41;Home
570;39;Dona
571;55;Dona
572;73;Home
573;69;Dona
574;46;Home
575;66;Home
576;66;Dona
577;41;Dona
578;35;Home
579;83;Home
580;77;Dona
581;53;Home
582;51;Home
583;87;Dona
584;99;Dona
585;70;Home
586;67;Dona
587;40;Dona
588;37;Dona
589;85;Dona
590;56;Dona
591;92;Dona
592;71;Home
593;74;Home
594;70;Dona
595;48;Home
596;44;Dona
597;84;Dona
598;49;Home
599;87;Dona
600;58;Dona
601;50;Dona
602;49;Home
603;45;Dona
604;57;Home
605;82;Dona
606;52;Dona
607;48;Dona
608;62;Home
609;63;Dona
610;88;Dona
611;74;Home
612;69;Dona
613;46;Dona
614;45;Dona
615;39;Dona
616;81;Home
617;53;Home
618;51;Dona
619;62;Home
620;59;Dona
621;36;Dona
622;50;Dona
623;46;Dona
624;70;Home
625;71;Dona
626;46;Dona
627;68;Home
628;63;Dona
629;57;Home
630;58;Home
631;67;Dona
632;83;Dona
633;85;Dona
634;70;Home
635;68;Dona
636;59;Dona
637;34;Dona
638;70;Dona
639;76;Home
640;46;Home
641;40;Home
642;37;Home
643;86;Dona
644;53;Dona
645;73;Dona
646;72;Dona
647;73;Dona
648;34;Dona
649;89;Home
650;45;Dona
651;96;Dona
652;52;Home
653;79;Dona
654;71;Dona
655;46;Home
656;43;Dona
657;38;Home
658;56;Home
659;68;Home
660;68;Dona
661;42;Dona
662;39;Home
663;86;Home
664;60;Home
665;57;Dona
666;35;Dona
667;64;Dona
668;82;Dona
669;59;Home
670;59;Dona
671;60;Dona
672;80;Dona
673;43;Home
674;38;Dona
675;74;Home
676;71;Dona
677;48;Dona
678;78;Home
679;79;Dona
680;49;Home
681;44;Dona
682;42;Home
683;84;Dona
684;82;Home
685;70;Dona
686;34;Dona
687;80;Dona
688;52;Dona
689;85;Home
690;75;Dona
691;51;Home
692;49;Home
693;63;Home
694;62;Dona
695;39;Home
696;66;Home
697;59;Home
698;66;Home
699;64;Dona
700;36;Home
701;34;Dona
702;96;Dona
703;60;Dona
704;81;Dona
705;51;Home
706;93;Dona
707;68;Home
708;64;Dona
709;53;Dona
710;50;Home
711;91;Dona
712;82;Dona
713;51;Dona
714;77;Dona
715;60;Home
716;60;Dona
717;77;Home
718;71;Dona
719;48;Dona
720;72;Home
721;69;Dona
722;76;Home
723;70;Dona
724;45;Home
725;71;Home
726;70;Dona
727;47;Dona
728;45;Home
729;41;Dona
730;38;Dona
731;86;Dona
732;49;Dona
733;58;Dona
734;39;Home
735;33;Dona
736;56;Home
737;55;Home
738;43;Home
739;64;Dona
740;47;Dona
741;43;Home
742;42;Dona
743;35;Dona
744;44;Home
745;43;Home
746;88;Dona
747;81;Home
748;49;Home
749;56;Home
750;91;Dona
751;74;Home
752;61;Home
753;59;Dona
754;40;Dona
755;68;Home
756;66;Dona
757;42;Home
758;74;Dona
759;39;Dona
760;83;Dona
761;55;Dona
762;55;Home
763;64;Home
764;72;Home
765;70;Dona
766;41;Home
767;64;Dona
768;58;Dona
769;34;Dona
770;56;Dona
